name,gender,wikidata,type
"Buiten Kruisvest",,,way
"Buiten Smedenpoort",,,way
"Buiten Smedenvest",,,way
"Buiten de Dampoort",,,way
"Buiten de Kruispoort",,,way
"Buiten de Smedenpoort",,,way
Burg,,,way
"Burgemeester de Croeserstraat",,,way
"Burggraaf de Nieulantlaan",,,way
Burggraafstraat,,,way
Burgstraat,,,way
Calvariebergstraat,,,way
"Camiel Van den Busschestraat",,,way
"Camille van de Walle de Ghelckestraat",,,way
Canadaplein,,,way
Canadaring,,,way
Canadastraat,,,way
Canadezenstraat,,,way
Carmersbrug,,,way
Carmersstraat,,,way
"Caroline Poppstraat",,,way
"Carolus de Vischstraat",,,way
Casenbrootlaan,,,way
Cattoorsmolenstraat,,,way
Caxtonweg,,,way
Chantrellstraat,,,way
Chartreuseweg,,,way
"Christine D'haenstraat",,,way
Chrysantenstraat,,,way
Colettijnenhof,,,way
Colettijnenstraat,,,way
"Collaert Mansionstraat",,,way
Collegestraat,,,way
Conzettbrug,,,way
Cordoeaniersstraat,,,way
"Cornelis Everaartstraat",,,way
Coupure,,,way
Coupurebrug,,,way
Craneveltweg,,,way
Cuwaertpad,,,way
Dambrug,,,way
Dampoortstraat,,,way
"Damse Steenweg",,,way
"Damse Vaart",,,way
"Damse Vaart Zuid 42 - 43",,,way
"Damse Vaart-Zuid",,,way
"Damse Wegel",,,way
Daveluystraat,,,way
Daverlostraat,,,way
"De Garre",,,way
"De Linde",,,way
"De Maleingreaustraat",,,way
"De Meersen",,,way
"De Mote",,,way
"De Munte",,,way
"De Paallanden",,,way
"De Prange Weidedreef",,,way
"De Stropersgracht",,,way
"De Tuintjes",,,way
"De Twaalf Gemeten",,,way
"De Vijf Lijnen",,,way
"De Vispaander",,,way
"De Watermolen",,,way
"De Waterwilgen",,,way
Dekenstraat,,,way
Dennenhof,,,way
Dhoorestraat,,,way
Diamantslijpersstraat,,,way
Dianadreef,,,way
"Diederik van de Elzasstraat",,,way
Dijver,,,way
Diksmuidestraat,,,way
"Diksmuidse Heerweg",,,way
"Diksmuidse Heirweg",,,way
Disbos,,,way
Distelstraat,,,way
Distelvinkstraat,,,way
"Dokter Zamenhoflaan",,,way
Dokwerkersstraat,,,way
Domeindreef,,,way
Doolhofweg,,,way
Doornhaagstraat,,,way
Doornhut,,,way
Doornstraat,,,way
Doornweg,,,way
Dorotheastraat,,,way
Dorpsmolenstraat,,,way
Dorpsplein,,,way
Dorpsstraat,,,way
Doverlaan,,,way
"Dreef ter Panne",,,way
Driebrouwersstraat,,,way
Driekoningenweg,,,way
Driekroezenstraat,,,way
Drieluikstraat,,,way
Dries,,,way
Driezwanenstraat,,,way
Drukkersstraat,,,way
Dubbelsingel,,,way
"Dudzeels Neerhof",,,way
"Dudzeels Opperhof",,,way
"Dudzeelse Brug",,,way
"Dudzeelse Steenweg",,,way
Dudzelesteenweg,,,way
Duinenabdijstraat,,,way
Duinenbrug,,,way
Duinpad,,,way
Duivenkete,,,way
Duivenplein,,,way
Duivenslagstraat,,,way
Duiventorenstraat,,,way
Dulleweg,,,way
Dwarsstraat,,,way
Dweersstraat,,,way
Edestraat,,,way
"Edgard De Smedtplantsoen",,,way
"Edward De Jansstraat",,,way
"Edward Joossensplein",,,way
Eekhoutpoort,,,way
Eekhoutstraat,,,way
Eendenweg,,,way
Egelpad,,,way
"Egied Strubbestraat",,,way
Eiensluisstraat,,,way
Eiermarkt,,,way
"Eigen Heerd",,,way
"Eigen Heerdlaan",,,way
Eikenberg,,,way
Eikenlaan,,,way
Eikvarenstraat,,,way
Eiland,,,way
"Elisabeth Zorghestraat",,,way
Elvoordestraat,,,way
"Emiel Vanderveldestraat",,,way
"Emile Bethuynelaan",,,way
"Emile en Dora Rommelaerestraat",,,way
"Emmanuel De Cloedtweg",,,way
Emmaüslaan,,,way
Engelandstraat,,,way
Engelendalelaan,,,way
Engelsestraat,,,way
Engelstraat,,,way
Eriestraat,,,way
Errembaultstraat,,,way
Esdoornstraat,,,way
Espendreef,,,way
Essenboomstraat,,,way
"Eugeen van Oyestraat",,,way
Europastraat,,,way
Evendijk-Oost,,,way
Evendijk-West,,,way
"Ever van 't Padstraat",,,way
Expressweg,,,way
Ezelpoort,,,way
Ezelsbrug,,,way
Ezelstraat,,,way
Fazantendreef,,,way
Fazantenlaan,,,way
"Ferry de Grosstraat",,,way
Feverystraat,,,way
"Filips Wielantstraat",,,way
"Finse Piste",,,way
Foerierstraat,,,way
Fonteinbrug,,,way
Fonteinstraat,,,way
Forestiersstraat,,,way
"Fort Lapin",,,way
"Fort Zevenbergen",,,way
Fortbekeweg,,,way
Fortstraat,,,way
Fortuinstraat,,,way
Fosterpark,,,way
"Frank Van Ackerpromenade",,,way
"Frederik Sanderlaan",,,way
"Freren Fonteinstraat",,,way
Gaarlemstraat,,,way
Galbertuslaan,,,way
Galeistraat,,,way
Gambrinusstraat,,,way
Gandhiplein,,,way
Ganzenpad,,,way
Ganzenplein,,,way
Ganzenstraat,,,way
Gapaardstraat,,,way
Garenmarkt,,,way
Garsoenstraat,,,way
"Gaston Roelandtsplein",,,way
"Gaston Roelandtsstraat",,,way
"Gebroeders Marreytstraat",,,way
Geernaartstraat,,,way
Geerolfstraat,,,way
Geervelde,,,way
Geerwijnstraat,,,way
Geldmuntstraat,,,way
"Gemene Weidestraat",,,way
"Gemene Weideweg Zuid",,,way
Gemeneweidebeekpad,,,way
Gemeneweideweg-Noord,,,way
Gemeneweideweg-Zuid,,,way
Genadedal,,,way
"Generaal Naessens de Loncinlaan",,,way
Gentele,,,way
Gentelebrug,,,way
Genthof,,,way
Gentiaanstraat,,,way
Gentpoortstraat,,,way
Gentpoortvest,,,way
Genuastraat,,,way
Geralaan,,,way
"Gerard Franchoostraat",,,way
Gevangenisstraat,,,way
Gieterijstraat,,,way
Gijzeleweg,,,way
Gildenhofstraat,,,way
"Gistelse Steenweg",,,way
Gistelsteenweg,,,way
Giststraat,,,way
Glanshaverstraat,,,way
Gloribusstraat,,,way
"Godshuis Spanoghe",,,way
Goedmoedstraat,,,way
Goezeputstraat,,,way
"Golf van Biskajestraat",,,way
Gotevlietstraat,,,way
Gotje,,,way
"Gouden Boomstraat",,,way
"Gouden Handbrug",,,way
Gouden-Handrei,,,way
Gouden-Handstraat,,,way
Goudenregenstraat,,,way
Goudsbloemlaan,,,way
Goudsmedenstraat,,,way
"Graaf Pierre de Brieylaan",,,way
"Graaf de Mûelenaerelaan",,,way
Grasdreef,,,way
Grauwwerkersstraat,,,way
Greinschuurstraat,,,way
Groendijk,,,way
Groene-Poortdreef,,,way
Groenerei,,,way
Groenestraat,,,way
Groenewijk,,,way
Groeninge,,,way
Groeningebrug,,,way
Groenlandstraat,,,way
"Groot Ter Doest",,,way
"Grote Ede",,,way
"Grote Moerstraat",,,way
"Grote Thems",,,way
Gruitstraat,,,way
Gruttostraat,,,way
"Gulden Peerdenstraat",,,way
Gulden-Vlieslaan,,,way
"Gustaaf Baertstraat",,,way
"Gustaaf Vermeerschstraat",,,way
Haanstraat,,,way
Haarakkerstraat,,,way
Hadewijchstraat,,,way
Hagedoornlaan,,,way
Hallen,,,way
Hallestraat,,,way
Handboogstraat,,,way
Harwichstraat,,,way
Hauwerstraat,,,way
Havenrandweg-Zuid,,,way
Havenstraat,,,way
Havikskruidstraat,,,way
Hazelaarsstraat,,,way
Hazenpad,,,way
Hazenpootstraat,,,way
Heesterlaan,,,way
Heidelbergstraat,,,way
Heideroosstraat,,,way
Heilige-Geeststraat,,,way
Heiststraat,,,way
Helmstraat,,,way
Hemelbeekstraat,,,way
Hemelrijk,,,way
"Hendrik Brugmansstraat",,,way
"Hendrik Waelputstraat",,,way
"Henri Dunantstraat",,,way
Herautlaan,,,way
Herdersbruggestraat,,,way
Herfstlaan,,,way
Hertogenstraat,,,way
Hertsbergestraat,,,way
Hertsvelde,,,way
Hertsvelde-West,,,way
"Het Brembos",,,way
"Hilaire Couvreurstraat",,,way
"Hilaire De fauwstraat",,,way
"Hippoliet Van Peenestraat",,,way
Hoedenmakersstraat,,,way
Hoefijzerlaan,,,way
Hofdamesstraat,,,way
Hofmeierlaan,,,way
Hofschenkerstraat,,,way
"Hoge Hul",,,way
"Hoge Lane",,,way
Hogeweg,,,way
Holleweg,,,way
"Hoog Brabantlaan",,,way
"Hoogste van Brugge",,,way
Hoogstraat,,,way
Hoogstuk,,,way
Hooistraat,,,way
Hoornstraat,,,way
Hoppestraat,,,way
Hortensiastraat,,,way
Houthulststraat,,,way
Houtkaai,,,way
Houtzagerijstraat,,,way
Hovenierslanden,,,way
Hoveniersstraat,,,way
"Hubrecht De Croockstraat",,,way
"Hugo Verrieststraat",,,way
Huidenvettersplein,,,way
Hulkstraat,,,way
IJslandstraat,,,way
IJzerland,,,way
IJzerstraat,,,way
Iepenlaan,,,way
Ieperleet,,,way
Ieperstraat,,,way
"Ierse Zeestraat",,,way
"Inrit 2",,,way
Invalidenstraat,,,way
Irisstraat,,,way
Isabellalaan,,,way
Jachthoornlaan,,,way
Jachtveldstraat,,,way
"Jacob van Arteveldestraat",,,way
"Jacob van Ooststraat",,,way
Jagersdreef,,,way
Jagerspad,,,way
Jagersstraat,,,way
"Jakob Moermanstraat",,,way
"Jakob Reyvaertstraat",,,way
Jakobinessenstraat,,,way
"Jan Blockxstraat",,,way
"Jan Britostraat",,,way
"Jan Frans Willemsstraat",,,way
"Jan Garemijnstraat",,,way
"Jan Lernoutstraat",,,way
"Jan Miraelstraat",,,way
"Jan Moritoenstraat",,,way
"Jan Van Eyckplein",,,way
"Jan Van Hulststraat",,,way
"Jan van Hesestraat",,,way
Jasmijnstraat,,,way
"Jeanne De Beirstraat",,,way
Jeruzalemstraat,,,way
Jezuïtengoed,,,way
"John F. Kennedyplein",,,way
"Jonkheer Paul Coppietersdreef",,,way
"Joseph De Smetstraat",,,way
"Joseph Wautersstraat",,,way
"Josué Maertenstraat",,,way
"Jozef Verschaveweg",,,way
"Jozef van Walleghemstraat",,,way
"Jules Van Praetstraat",,,way
"Julius en Maurits Sabbestraat",,,way
Kalkovenstraat,,,way
Kalsijde-Ader,,,way
Kamerheerstraat,,,way
Kammakersstraat,,,way
Kamperfoeliestraat,,,way
Kandelaarstraat,,,way
Kanselierlaan,,,way
Kantwerkstersplein,,,way
"Kanunnik Andriesstraat",,,way
"Kanunnik Decoeneplein",,,way
"Kanunnik Duhamellaan",,,way
Kapelaanstraat,,,way
Kapelstuk,,,way
Kapelweg,,,way
"Kapitein Fryattstraat",,,way
Kaproenenhof,,,way
"Kardinaal Cardijnstraat",,,way
"Karel Cartonstraat",,,way
"Karel Custisstraat",,,way
"Karel De Ghelderestraat",,,way
"Karel Mirystraat",,,way
"Karel Serweytensstraat",,,way
"Karel de Goedestraat",,,way
"Karel de Stoutelaan",,,way
"Karel de Wolfstraat",,,way
Kartuizerinnenstraat,,,way
Kartuizersmeers,,,way
Kartuizersstraat,,,way
Karveelstraat,,,way
Kastanjelaan,,,way
Kasteeldreef,,,way
Kasteelgeleed,,,way
Kasteelhoevestraat,,,way
Kasteelstraat,,,way
Kasteleinweg,,,way
Katelijnebrug,,,way
Katelijnestraat,,,way
Katelijnevest,,,way
Kattegatstraat,,,way
Kazernevest,,,way
Keersstraat,,,way
Kegelschoolstraat,,,way
Keizerstraat,,,way
Kelkstraat,,,way
Kemelstraat,,,way
Kerkdreef,,,way
Kerkebeekpad,,,way
Kerkhofblommenstraat,,,way
Kerkhofstraat,,,way
Kerklaan,,,way
Kerselarenstraat,,,way
Kersenboomstraat,,,way
Kervyndreef,,,way
Ketsbruggestraat,,,way
"Keurvorst Karel Theodoorstraat",,,way
Kielbankstraat,,,way
Kielstraat,,,way
Kievitstraat,,,way
Kipstraat,,,way
Kiwiweg,,,way
Klauwijzerstraat,,,way
Klaverstraat,,,way
"Kleine Blekkaard",,,way
"Kleine Heilige-Geeststraat",,,way
"Kleine Hertsbergestraat",,,way
"Kleine Hoedenmakersstraat",,,way
"Kleine Hoefijzerstraat",,,way
"Kleine Kerkhofstraat",,,way
"Kleine Kuipersstraat",,,way
"Kleine Moerstraat",,,way
"Kleine Molenstraat",,,way
"Kleine Monnikenwerve",,,way
"Kleine Nieuwstraat",,,way
"Kleine Pathoekeweg",,,way
"Kleine Rijselstraat",,,way
"Kleine Sint-Amandsstraat",,,way
"Kleine Sint-Jansstraat",,,way
"Kleine Smulstraat",,,way
"Kleine Vooruitgangstraat",,,way
Kleineweg,,,way
Klerkenstraat,,,way
Klippestraat,,,way
Klokstraat,,,way
Klompenmakersstraat,,,way
Kloostermuur,,,way
Kloosterveld,,,way
Kloppersweg,,,way
Kluppelmeers,,,way
Knotwilgenlaan,,,way
Koeiendreef,,,way
Koestraat,,,way
Koetelwijk,,,way
Koggenstraat,,,way
Kolenkaai,,,way
Kolvestraat,,,way
Kommekenstraat,,,way
Komvest,,,way
Konfijtstraat,,,way
Kongostraat,,,way
Konijnenpad,,,way
Konijnenpijp,,,way
"Koning Leopold III-laan",,,way
"Koningin Elisabethlaan",,,way
"Koningin Elisabethsquare",,,way
Koningsbrug,,,way
Koningstraat,,,way
Kooidam,,,way
Kooidreef,,,way
Koolbranderstraat,,,way
Koolkerkesteenweg,,,way
"Koolkerkse Steenweg",,,way
"Koolkerkse Wegel",,,way
Koolstuk,,,way
Koopmansstraat,,,way
Kopstraat,,,way
Korendragersstraat,,,way
"Korte Blekerstraat",,,way
"Korte Dwarsstraat",,,way
"Korte Eriestraat",,,way
"Korte Fortuinstraat",,,way
"Korte Gotevlietstraat",,,way
"Korte Lane",,,way
"Korte Molenstraat",,,way
"Korte Raamstraat",,,way
"Korte Ridderstraat",,,way
"Korte Ropeerdstraat",,,way
"Korte Sint-Annastraat",,,way
"Korte Speelmansstraat",,,way
"Korte Sportstraat",,,way
"Korte Vesting",,,way
"Korte Vuldersstraat",,,way
"Korte Zilverstraat",,,way
"Korte weg",,,way
Kortebrugge,,,way
Kortewinkel,,,way
Kosterijstraat,,,way
Kotterstraat,,,way
Koude-Keukenstraat,,,way
Koudemarkt,,,way
Kraaiendreef,,,way
Kraaienhof,,,way
Kraakstraat,,,way
Kraanplein,,,way
Kraanrei,,,way
Krakeleweg,,,way
Krakkestraat,,,way
Kranenburg,,,way
Krekenstraat,,,way
Kreupelbos,,,way
Kreupelenstraat,,,way
Kriekenstraat,,,way
Krinkelstraat,,,way
"Krom Genthof",,,way
Krommestraat,,,way
Kroonstraat,,,way
Kroosmeers,,,way
Kruiersstraat,,,way
Kruipuit,,,way
Kruisabelestraat,,,way
Kruisboogstraat,,,way
Kruispoortbrug,,,way
Kruisvest,,,way
Kruitenbergstraat,,,way
Kuipersstraat,,,way
Kustlaan,,,way
Kwarteldreef,,,way
Kwekersstraat,,,way
Laconiastraat,,,way
Lagebekeweg,,,way
"Lanceloot Blondeellaan",,,way
Landjuwelenstraat,,,way
Landslag,,,way
Landvoogdlaan,,,way
"Lange Molenstraat",,,way
"Lange Muntstraat",,,way
"Lange Raamstraat",,,way
"Lange Vesting",,,way
Langerei,,,way
Langestraat,,,way
Lappersfortstraat,,,way
Laurierenhof,,,way
Leemputstraat,,,way
Leemputten,,,way
Leenhof,,,way
Leenhofweg,,,way
Leenweg,,,way
Leestenburg,,,way
Leeuwentandstraat,,,way
Leeuwerikstraat,,,way
Leffingestraat,,,way
"Lege Moerstraat",,,way
Legeweg,,,way
Leikendreef,,,way
Leiselebeekstraat,,,way
Leiselestraat,,,way
Leiseleveld,,,way
Leliestraat,,,way
Lendestraat,,,way
Lentestraat,,,way
"Leon De Foerestraat",,,way
"Leopold II-laan",,,way
Lettenburgweg,,,way
"Lieven Bauwensstraat",,,way
Lijsterbeekstraat,,,way
Lijsterstraat,,,way
Lindelaan,,,way
Lindenlaan,,,way
"Lisseweegs Opperhof",,,way
"Lisseweegs Vaartje",,,way
"Lisseweegse Steenweg",,,way
Lisstraat,,,way
Lobbrechtstraat,,,way
"Lodewijk Gilliodtsplein",,,way
"Lodewijk de Raetstraat",,,way
"Lodewijk van Malestraat",,,way
Londenstraat,,,way
Loodswezenstraat,,,way
"Lopez Gallostraat",,,way
Loppemstraat,,,way
Loreinenstuk,,,way
Lorkendreef,,,way
Lorreinendreef,,,way
Lorreinenhoek,,,way
"Louis de Meystraat",,,way
"Louis de Potterstraat",,,way
"Loweideweg / Looweideweg",,,way
Luikstraat,,,way
Maagdendal,,,way
Maagdenstraat,,,way
Maaibilk,,,way
Maalderijstraat,,,way
"Maalse Steenweg",,,way
Magdalenapad,,,way
Magdalenastraat,,,way
Malegalgstraat,,,way
Malehoeklaan,,,way
Malelatenstraat,,,way
Maleveld,,,way
Mallebergplaats,,,way
Mantelstuk,,,way
"Marcel Minnaertstraat",,,way
"Marcus Gerardsstraat",,,way
"Margareta van Vlaanderenstraat",,,way
Mariabrug,,,way
"Marianne van Outryveweg",,,way
Mariënhovedreef,,,way
Markgraafstraat,,,way
Markiesstraat,,,way
Markt,,,relation
Marktplein,,,relation
Marktstraat,,,way
Matmeers,,,way
"Maurits van Coppenollestraat",,,way
Meersenstraat,,,way
Meestraat,,,way
Meeuwenstraat,,,way
Meiboomlaan,,,way
Meiveldenlaan,,,way
Mercatorstraat,,,way
Merelstraat,,,way
Messem,,,way
Meulestee,,,way
Mexicostraat,,,way
Mezenstraat,,,way
"Michel Van Hammestraat",,,way
Middelburgstraat,,,way
Minderbroedersstraat,,,way
Minervaplein,,,way
Minnewater,,,way
Minnewaterbrug,,,way
Minnewaterparkbrug,,,way
Minnezangerlaan,,,way
Mispelaar,,,way
Mispelblik,,,way
Moerkerkesteenweg,,,way
Moerkerkestraat,,,way
"Moerkerkse Steenweg",,,way
Moerstraat,,,way
Molenaarsstraat,,,way
Molenakker,,,way
Molengeleed,,,way
Molenijzer,,,way
Molenmeers,,,way
Molenroede,,,way
Molensteenstraat,,,way
Molenstraat,,,way
Molenwallen,,,way
Molenwiekstraat-Oost,,,way
Molenwiekstraat-West,,,way
Monnikenwerve,,,way
Montpellier,,,way
Morgensterdreef,,,way
Mortierstraat,,,way
Moutstraat,,,way
Muizenoorstraat,,,way
Muntplein,,,way
Naaldenstraat,,,way
Nachtegaalstraat,,,way
Nachtegalendreef,,,way
Nepomucenusbrug,,,way
Neststraat,,,way
"New Yorklaan",,,way
"Nicolaus Muleriusstraat",,,way
"Nieuwe Gentweg",,,way
"Nieuwe Sint-Annadreef",,,way
"Nieuwe groenestraat",,,way
Nieuwenhove,,,way
Nieuwstraat,,,way
Nijverheidsstraat,,,way
Noord-Gistelhof,,,way
Noordbruggestraat,,,way
Noorderboomgaard,,,way
Noordhinderstraat,,,way
Noordreiestraat,,,way
Noordsterstraat,,,way
Noordstraat,,,way
Noordveldstraat,,,way
Noordzandstraat,,,way
Noordzeestraat,,,way
"Noorweegse Kaai",,,way
Notelarendreef,,,way
Odegemstraat,,,way
Oliebaan,,,way
Oliemolenstraat,,,way
"Olivier de Wreestraat",,,way
Olmendreef,,,way
Olympialaan,,,way
Omookaai,,,way
"Onder de Toren",,,way
Ontmijnerslaan,,,way
Ontvangersstraat,,,way
Onze-Lieve-Vrouweader,,,way
Onze-Lieve-Vrouwedreef,,,way
Onze-Lieve-Vrouwekerkhof-zuid,,,way
Oorlogsvrijwilligerslaan,,,way
"Oostendse Steenweg",,,way
Oosterlingenplein,,,way
Oostkerkestraat,,,way
Oostmeers,,,way
Oostproostse,,,way
Oostzeestraat,,,way
Opkenstraat,,,way
Oranjeboomstraat,,,way
Orchideeënlaan,,,way
Ossenstraat,,,way
Oud-Strijderslaan,,,way
"Oude Burg",,,way
"Oude Gentweg",,,way
"Oude Herdersbrug",,,way
"Oude Hoogweg",,,way
"Oude Kortrijkstraat",,,way
"Oude Oostendse Steenweg",,,way
"Oude Pastoriestraat",,,way
"Oude Sint-Annadreef",,,way
"Oude Spoorwegbedding",,,way
"Oude Zak",,,way
"Oude Zomerstraat",,,way
"Oude Zwinstraat",,,way
Oudekerkstraat,,,way
"Over de Vaartbeek",,,way
Paalbos,,,way
Paallandenstraat,,,way
Paalstraat,,,way
"Pad Zevenbergen",,,way
Palingstraat,,,way
Palmstraat,,,way
Pandreitje,,,way
Pannebekestraat,,,way
Pannenhuisstraat,,,way
Papegaaistraat,,,way
Papenplein,,,way
Papenweg,,,way
Paradijsstraat,,,way
Park,,,way
"Park De Rode Poort",,,way
Parklaan,,,way
"Pastoor Van Haeckeplantsoen",,,way
"Pastoor Verhaegheplein",,,way
Pastoriestraat,,,way
Pastorieweg,,,way
Patentestraat,,,way
Pathoekeweg,,,way
Patrijzenweg,,,way
"Paul Devauxstraat",,,way
"Paul de Halleuxstraat",,,way
Pauverleutestraat,,,way
Pauwstraat,,,way
Peelaertplein,,,way
Peerdenstraat,,,way
Pelderijnstraat,,,way
Peraltastraat,,,way
Pestelstraat,,,way
Petegemstraat,,,way
Peterseliestraat,,,way
Philipstockstraat,,,way
"Pierre Debautstraat",,,way
Pierssensdreef,,,way
"Pieter Corneilledreef",,,way
"Pieter Pourbusstraat",,,way
"Pieter Troostlaan",,,way
Pijpenstrostraat,,,way
Pijpersstraat,,,way
Pijpeweg,,,way
Pinksterbloemmeers,,,way
Pioenstraat,,,way
Pitsenbosdreef,,,way
Planetenpad,,,way
Platanendreef,,,way
Pleinstraat,,,way
Pletsteen,,,way
Ploegstraat,,,way
Pluvierstraat,,,way
Poelweg,,,way
Poitevinstraat,,,way
